indicator,County,Year,subgroup1,subgroup_cat1,subgroup2,subgroup_cat2,aaRate10K,count,cRate10K,dailyMean
"ED Visits	",Albany,2005-2007,"Total	","	","Total	","	",74.933,6384,70.104,5.83
"ED Visits	",Albany,2005-2016,"Total	","	","Total	","	",73.093,24806,67.634,5.66
"ED Visits	",Albany,2006-2008,"Total	","	","Total	","	",74.755,6392,70.119,5.832
"ED Visits	",Albany,2007-2009,"Total	","	","Total	","	",77.343,6604,72.386,6.026
"ED Visits	",Albany,2008-2010,"Total	","	","Total	","	",77.602,6597,72.292,6.019
"ED Visits	",Albany,2009-2011,"Total	","	","Total	","	",76.889,6520,71.348,5.954
"ED Visits	",Albany,2010-2012,"Total	","	","Total	","	",74.524,6298,68.794,5.746
"ED Visits	",Albany,2011-2013,"Total	","	","Total	","	",72.85,6148,66.906,5.609
"ED Visits	",Albany,2012-2014,"Total	","	","Total	","	",72.584,6107,66.224,5.572
"ED Visits	",Albany,2013-2015,"Total	","	","Total	","	",69.953,5908,63.924,5.395
"ED Visits	",Albany,2014-2016,"Total	","	","Total	","	",67.117,5677,61.335,5.18
"ED Visits	",Allegany,2005-2007,"Total	","	","Total	","	",35.569,494,33.332,0.451
"ED Visits	",Allegany,2005-2016,"Total	","	","Total	","	",40.961,2181,37.434,0.498
"ED Visits	",Allegany,2006-2008,"Total	","	","Total	","	",35.405,489,33.127,0.446
"ED Visits	",Allegany,2007-2009,"Total	","	","Total	","	",38.422,522,35.456,0.476
"ED Visits	",Allegany,2008-2010,"Total	","	","Total	","	",36.566,490,33.312,0.447
"ED Visits	",Allegany,2009-2011,"Total	","	","Total	","	",40.922,550,37.482,0.502
"ED Visits	",Allegany,2010-2012,"Total	","	","Total	","	",45.342,603,41.297,0.55
"ED Visits	",Allegany,2011-2013,"Total	","	","Total	","	",50.844,663,45.702,0.605
"ED Visits	",Allegany,2012-2014,"Total	","	","Total	","	",48.045,622,43.189,0.568
"ED Visits	",Allegany,2013-2015,"Total	","	","Total	","	",44.997,579,40.439,0.529
"ED Visits	",Allegany,2014-2016,"Total	","	","Total	","	",41.398,534,37.54,0.487
"ED Visits	",Bronx,2005-2007,"Total	","	","Total	","	",257.6,106327,262.28,97.102
"ED Visits	",Bronx,2005-2016,"Total	","	","Total	","	",264.891,449010,267.812,102.444
"ED Visits	",Bronx,2006-2008,"Total	","	","Total	","	",266.757,110017,270.597,100.38
"ED Visits	",Bronx,2007-2009,"Total	","	","Total	","	",261.323,108264,264.458,98.781
"ED Visits	",Bronx,2008-2010,"Total	","	","Total	","	",253.475,105704,256.067,96.445
"ED Visits	",Bronx,2009-2011,"Total	","	","Total	","	",247.129,103912,249.519,94.897
"ED Visits	",Bronx,2010-2012,"Total	","	","Total	","	",256.393,108710,258.648,99.188
"ED Visits	",Bronx,2011-2013,"Total	","	","Total	","	",273.102,116862,275.533,106.626
"ED Visits	",Bronx,2012-2014,"Total	","	","Total	","	",288.284,124373,290.658,113.479
"ED Visits	",Bronx,2013-2015,"Total	","	","Total	","	",287.354,124950,289.676,114.11
"ED Visits	",Bronx,2014-2016,"Total	","	","Total	","	",274.681,120117,276.601,109.596
"ED Visits	",Broome,2005-2007,"Total	","	","Total	","	",55.482,3122,51.838,2.851
"ED Visits	",Broome,2005-2016,"Total	","	","Total	","	",57.141,12777,53.437,2.915
"ED Visits	",Broome,2006-2008,"Total	","	","Total	","	",56.078,3162,52.454,2.885
"ED Visits	",Broome,2007-2009,"Total	","	","Total	","	",54.939,3103,51.473,2.831
"ED Visits	",Broome,2008-2010,"Total	","	","Total	","	",53.801,3057,50.744,2.789
"ED Visits	",Broome,2009-2011,"Total	","	","Total	","	",54.909,3113,51.809,2.843
"ED Visits	",Broome,2010-2012,"Total	","	","Total	","	",58.342,3300,55.106,3.011
"ED Visits	",Broome,2011-2013,"Total	","	","Total	","	",60.814,3417,57.261,3.118
"ED Visits	",Broome,2012-2014,"Total	","	","Total	","	",62.416,3463,58.206,3.16
"ED Visits	",Broome,2013-2015,"Total	","	","Total	","	",63.738,3477,58.668,3.175
"ED Visits	",Broome,2014-2016,"Total	","	","Total	","	",59.453,3181,53.95,2.902
"ED Visits	",Cattaraugus,2005-2007,"Total	","	","Total	","	",52.755,1204,49.256,1.1
"ED Visits	",Cattaraugus,2005-2016,"Total	","	","Total	","	",58.398,5209,54.356,1.188
"ED Visits	",Cattaraugus,2006-2008,"Total	","	","Total	","	",56.573,1277,52.517,1.165
"ED Visits	",Cattaraugus,2007-2009,"Total	","	","Total	","	",62.767,1413,58.314,1.289
"ED Visits	",Cattaraugus,2008-2010,"Total	","	","Total	","	",65.296,1460,60.455,1.332
"ED Visits	",Cattaraugus,2009-2011,"Total	","	","Total	","	",68.773,1526,63.43,1.394
"ED Visits	",Cattaraugus,2010-2012,"Total	","	","Total	","	",65.508,1445,60.346,1.318
"ED Visits	",Cattaraugus,2011-2013,"Total	","	","Total	","	",63.754,1415,59.413,1.291
"ED Visits	",Cattaraugus,2012-2014,"Total	","	","Total	","	",60.893,1353,57.102,1.234
"ED Visits	",Cattaraugus,2013-2015,"Total	","	","Total	","	",59.823,1324,56.224,1.209
"ED Visits	",Cattaraugus,2014-2016,"Total	","	","Total	","	",52.136,1130,48.248,1.031
"ED Visits	",Cayuga,2005-2007,"Total	","	","Total	","	",44.596,1038,42.782,0.948
"ED Visits	",Cayuga,2005-2016,"Total	","	","Total	","	",43.043,3881,40.56,0.885
"ED Visits	",Cayuga,2006-2008,"Total	","	","Total	","	",45.217,1045,43.181,0.953
"ED Visits	",Cayuga,2007-2009,"Total	","	","Total	","	",48.766,1110,46.004,1.013
"ED Visits	",Cayuga,2008-2010,"Total	","	","Total	","	",47.971,1086,45.156,0.991
"ED Visits	",Cayuga,2009-2011,"Total	","	","Total	","	",42.487,957,39.904,0.874
"ED Visits	",Cayuga,2010-2012,"Total	","	","Total	","	",39.7,906,37.862,0.827
"ED Visits	",Cayuga,2011-2013,"Total	","	","Total	","	",40.339,930,38.963,0.849
"ED Visits	",Cayuga,2012-2014,"Total	","	","Total	","	",42.493,970,40.802,0.885
"ED Visits	",Cayuga,2013-2015,"Total	","	","Total	","	",40.964,901,38.111,0.823
"ED Visits	",Cayuga,2014-2016,"Total	","	","Total	","	",38.888,827,35.186,0.755
"ED Visits	",Chautauqua,2005-2007,"Total	","	","Total	","	",73.383,2792,68.556,2.55
"ED Visits	",Chautauqua,2005-2016,"Total	","	","Total	","	",65.769,9692,60.369,2.211
"ED Visits	",Chautauqua,2006-2008,"Total	","	","Total	","	",66.139,2503,61.597,2.284
"ED Visits	",Chautauqua,2007-2009,"Total	","	","Total	","	",66.698,2511,61.861,2.291
"ED Visits	",Chautauqua,2008-2010,"Total	","	","Total	","	",69.237,2590,63.921,2.363
"ED Visits	",Chautauqua,2009-2011,"Total	","	","Total	","	",73.482,2713,67.116,2.478
"ED Visits	",Chautauqua,2010-2012,"Total	","	","Total	","	",69.658,2532,62.912,2.31
"ED Visits	",Chautauqua,2011-2013,"Total	","	","Total	","	",63.317,2303,57.473,2.101
"ED Visits	",Chautauqua,2012-2014,"Total	","	","Total	","	",60.708,2196,55.117,2.004
"ED Visits	",Chautauqua,2013-2015,"Total	","	","Total	","	",60.427,2183,55.155,1.994
